scene,video,true_label,frame,angle,hip_height,bbox_ratio
URFD_adl,adl-01,ADL,1,,,
URFD_adl,adl-01,ADL,2,,,
URFD_adl,adl-01,ADL,3,,,
URFD_adl,adl-01,ADL,4,,,
URFD_adl,adl-01,ADL,5,,,
URFD_adl,adl-01,ADL,6,,,
URFD_adl,adl-01,ADL,7,,,
URFD_adl,adl-01,ADL,8,,,
URFD_adl,adl-01,ADL,9,,,
URFD_adl,adl-01,ADL,10,,,
URFD_adl,adl-01,ADL,11,,,
URFD_adl,adl-01,ADL,12,,,
URFD_adl,adl-01,ADL,13,,,
URFD_adl,adl-01,ADL,14,,,
URFD_adl,adl-01,ADL,15,,,
URFD_adl,adl-01,ADL,16,,,
URFD_adl,adl-01,ADL,17,,,
URFD_adl,adl-01,ADL,18,,,
URFD_adl,adl-01,ADL,19,,,
URFD_adl,adl-01,ADL,20,,,
URFD_adl,adl-01,ADL,21,,,
URFD_adl,adl-01,ADL,22,,,
URFD_adl,adl-01,ADL,23,,,
URFD_adl,adl-01,ADL,24,,,
URFD_adl,adl-01,ADL,25,,,
URFD_adl,adl-01,ADL,26,,,
URFD_adl,adl-01,ADL,27,,,
URFD_adl,adl-01,ADL,28,0.9445,0.5084,0.4827
URFD_adl,adl-01,ADL,29,1.8571,0.5030,0.5030
URFD_adl,adl-01,ADL,30,1.8745,0.5126,0.4760
URFD_adl,adl-01,ADL,31,1.1979,0.5107,0.2402
URFD_adl,adl-01,ADL,32,0.6948,0.5115,0.4679
URFD_adl,adl-01,ADL,33,0.5968,0.5018,0.2550
URFD_adl,adl-01,ADL,34,1.0061,0.4997,0.2512
URFD_adl,adl-01,ADL,35,1.5035,0.4977,0.2549
URFD_adl,adl-01,ADL,36,,,
URFD_adl,adl-01,ADL,37,,,
URFD_adl,adl-01,ADL,38,,,
URFD_adl,adl-01,ADL,39,1.7681,0.4976,0.2431
URFD_adl,adl-01,ADL,40,,,
URFD_adl,adl-01,ADL,41,,,
URFD_adl,adl-01,ADL,42,,,
URFD_adl,adl-01,ADL,43,,,
URFD_adl,adl-01,ADL,44,,,
URFD_adl,adl-01,ADL,45,,,
URFD_adl,adl-01,ADL,46,,,
URFD_adl,adl-01,ADL,47,,,
URFD_adl,adl-01,ADL,48,,,
URFD_adl,adl-01,ADL,49,1.5127,0.4908,0.2578
URFD_adl,adl-01,ADL,50,0.6066,0.4965,0.2617
URFD_adl,adl-01,ADL,51,0.3181,0.4960,0.2551
URFD_adl,adl-01,ADL,52,0.6516,0.4969,0.2651
URFD_adl,adl-01,ADL,53,1.5805,0.4927,0.2586
URFD_adl,adl-01,ADL,54,1.7900,0.4947,0.2560
URFD_adl,adl-01,ADL,55,1.5182,0.4931,0.2449
URFD_adl,adl-01,ADL,56,1.5855,0.4937,0.2548
URFD_adl,adl-01,ADL,57,2.5355,0.4889,0.2583
URFD_adl,adl-01,ADL,58,2.9759,0.4884,0.2573
URFD_adl,adl-01,ADL,59,3.5271,0.4863,0.2545
URFD_adl,adl-01,ADL,60,3.0510,0.4838,0.2611
URFD_adl,adl-01,ADL,61,2.5541,0.4837,0.2637
URFD_adl,adl-01,ADL,62,2.4786,0.4786,0.2652
URFD_adl,adl-01,ADL,63,1.7184,0.4766,0.2621
URFD_adl,adl-01,ADL,64,1.3715,0.4758,0.2627
URFD_adl,adl-01,ADL,65,1.5038,0.4742,0.2662
URFD_adl,adl-01,ADL,66,1.4000,0.4761,0.2642
URFD_adl,adl-01,ADL,67,0.3794,0.4749,0.2643
URFD_adl,adl-01,ADL,68,1.4468,0.4750,0.2539
URFD_adl,adl-01,ADL,69,1.0638,0.4765,0.2511
URFD_adl,adl-01,ADL,70,0.5368,0.4769,0.2488
URFD_adl,adl-01,ADL,71,0.6695,0.4778,0.2473
URFD_adl,adl-01,ADL,72,0.5196,0.4778,0.2460
URFD_adl,adl-01,ADL,73,0.4556,0.4798,0.2388
URFD_adl,adl-01,ADL,74,0.1310,0.4792,0.2312
URFD_adl,adl-01,ADL,75,0.5518,0.4798,0.2186
URFD_adl,adl-01,ADL,76,0.8877,0.4787,0.2228
URFD_adl,adl-01,ADL,77,0.6904,0.4745,0.2161
URFD_adl,adl-01,ADL,78,0.6328,0.4716,0.1913
URFD_adl,adl-01,ADL,79,0.5013,0.4700,0.2025
URFD_adl,adl-01,ADL,80,1.0465,0.4647,0.1817
URFD_adl,adl-01,ADL,81,1.9637,0.4599,0.1672
URFD_adl,adl-01,ADL,82,3.8137,0.4651,0.1637
URFD_adl,adl-01,ADL,83,5.3391,0.4630,0.1670
URFD_adl,adl-01,ADL,84,6.4525,0.4679,0.2026
URFD_adl,adl-01,ADL,85,7.5176,0.4643,0.1923
URFD_adl,adl-01,ADL,86,9.9756,0.4633,0.2047
URFD_adl,adl-01,ADL,87,8.7618,0.4673,0.1552
URFD_adl,adl-01,ADL,88,10.7450,0.4649,0.2181
URFD_adl,adl-01,ADL,89,10.8115,0.4777,0.2313
URFD_adl,adl-01,ADL,90,13.9574,0.4634,0.2637
URFD_adl,adl-01,ADL,91,12.2243,0.4646,0.2409
URFD_adl,adl-01,ADL,92,11.7219,0.4706,0.2552
URFD_adl,adl-01,ADL,93,13.5027,0.4692,0.2411
URFD_adl,adl-01,ADL,94,14.5910,0.4699,0.2778
URFD_adl,adl-01,ADL,95,16.9160,0.4710,0.2439
URFD_adl,adl-01,ADL,96,20.6361,0.4622,0.2291
URFD_adl,adl-01,ADL,97,21.0170,0.4683,0.2409
URFD_adl,adl-01,ADL,98,22.0163,0.4729,0.2442
URFD_adl,adl-01,ADL,99,22.5279,0.4755,0.2478
URFD_adl,adl-01,ADL,100,25.0790,0.4774,0.2621
URFD_adl,adl-01,ADL,101,25.3707,0.4849,0.2663
URFD_adl,adl-01,ADL,102,27.1240,0.4919,0.2748
URFD_adl,adl-01,ADL,103,26.4841,0.4989,0.2823
URFD_adl,adl-01,ADL,104,28.6811,0.5010,0.2971
URFD_adl,adl-01,ADL,105,29.2405,0.5079,0.2932
URFD_adl,adl-01,ADL,106,29.2332,0.5167,0.3155
URFD_adl,adl-01,ADL,107,29.7903,0.5258,0.3232
URFD_adl,adl-01,ADL,108,32.8741,0.5267,0.3696
URFD_adl,adl-01,ADL,109,33.5843,0.5338,0.3703
URFD_adl,adl-01,ADL,110,35.6498,0.5413,0.3907
URFD_adl,adl-01,ADL,111,35.7444,0.5512,0.3672
URFD_adl,adl-01,ADL,112,35.6792,0.5576,0.3801
URFD_adl,adl-01,ADL,113,36.5309,0.5665,0.3719
URFD_adl,adl-01,ADL,114,36.8171,0.5785,0.4070
URFD_adl,adl-01,ADL,115,36.4794,0.5911,0.4126
URFD_adl,adl-01,ADL,116,33.6652,0.6030,0.4139
URFD_adl,adl-01,ADL,117,32.5312,0.6106,0.3818
URFD_adl,adl-01,ADL,118,27.1660,0.6346,0.3810
URFD_adl,adl-01,ADL,119,28.2364,0.6384,0.3769
URFD_adl,adl-01,ADL,120,25.2305,0.6539,0.3843
URFD_adl,adl-01,ADL,121,25.4317,0.6609,0.3879
URFD_adl,adl-01,ADL,122,25.2134,0.6642,0.7440
URFD_adl,adl-01,ADL,123,25.3074,0.6709,0.4186
URFD_adl,adl-01,ADL,124,26.3219,0.6742,0.7609
URFD_adl,adl-01,ADL,125,27.1044,0.6807,0.4139
URFD_adl,adl-01,ADL,126,25.8462,0.6908,0.7263
URFD_adl,adl-01,ADL,127,26.5196,0.6977,0.4127
URFD_adl,adl-01,ADL,128,27.1355,0.6935,0.4223
